0.323136	-0.184319	0	0.25	0.17	0	-0.25	-0.17	0	-0.150676	0.148631	0	
0.323136	-0.184319	0	0.440927	0.148621	0	-0.051776	-0.197173	0	-0.150676	0.148631	0	
0.530304	-0.167198	0	0.440927	0.148621	0	-0.051776	-0.197173	0	0.0359825	0.144188	0	
0.530304	-0.167198	0	0.647075	0.18806	0.15	0.0892712	-0.172555	0	0.0359825	0.144188	0	
0.720717	-0.163534	0.15	0.647075	0.18806	0.15	0.0892712	-0.172555	0	0.233653	0.20634	0	
0.720717	-0.163534	0.15	0.83631	0.140733	0.15	0.321625	-0.151244	0	0.233653	0.20634	0	
0.881	-0.167268	0.15	0.83631	0.140733	0.15	0.321625	-0.151244	0	0.404689	0.192731	0	
0.881	-0.167268	0.15	1.01638	0.157505	0.3	0.490195	-0.179303	0	0.404689	0.192731	0	
1.10898	-0.169729	0.3	1.01638	0.157505	0.3	0.490195	-0.179303	0	0.575882	0.16425	0	
1.10898	-0.169729	0.3	1.23011	0.196595	0.45	0.684844	-0.182647	0.15	0.575882	0.16425	0	
1.29299	-0.168854	0.45	1.23011	0.196595	0.45	0.684844	-0.182647	0.15	0.791844	0.229409	0.15	
1.29299	-0.168854	0.45	1.37837	0.149808	0.45	0.876435	-0.176845	0.15	0.791844	0.229409	0.15	
1.49944	-0.174353	0.45	1.37837	0.149808	0.45	0.876435	-0.176845	0.15	0.991068	0.165392	0.3	
1.49944	-0.174353	0.45	1.56367	0.169912	0.45	1.09663	-0.178027	0.3	0.991068	0.165392	0.3	
1.66016	-0.159326	0.45	1.56367	0.169912	0.45	1.09663	-0.178027	0.3	1.16001	0.16898	0.3	
1.66016	-0.159326	0.45	1.7494	0.170884	0.45	1.29084	-0.179379	0.45	1.16001	0.16898	0.3	
1.83813	-0.172278	0.45	1.7494	0.170884	0.45	1.29084	-0.179379	0.45	1.34445	0.158628	0.45	
1.83813	-0.172278	0.45	1.92896	0.199094	0.45	1.46192	-0.178727	0.45	1.34445	0.158628	0.45	
2.05244	-0.156991	0.45	1.92896	0.199094	0.45	1.46192	-0.178727	0.45	1.545	0.160462	0.45	
2.05244	-0.156991	0.45	2.10856	0.191387	0.45	1.66113	-0.167756	0.45	1.545	0.160462	0.45	
2.25	-0.17	0.45	2.10856	0.191387	0.45	1.66113	-0.167756	0.45	1.75	0.17	0.45	
2.25	-0.17	0.45	2.25	0.17	0.45	1.75	-0.17	0.45	1.75	0.17	0.45	
